timestamp,precio,market_cap,total_volumen
2020-12-22,22840.991707188354,424329939581.7774,38423396405.393135
2020-12-23,23794.79330262859,441752551013.19135,38733771616.273865
2020-12-24,23308.12723217715,433051601800.69293,42917744239.8244
2020-12-25,23760.287048542956,441614502954.16315,36826373658.97133
2020-12-26,24671.107714415415,458416319552.32434,36622874229.82892
2020-12-27,26476.130137019492,491978602969.93176,41995154622.74047
2020-12-28,26423.22879190229,493427450341.26013,56654980595.93094
2020-12-29,27125.384120651503,503712223153.6673,42186521237.4668
2020-12-30,27424.538954606684,509680257177.0481,38081840205.60215
2020-12-31,28837.28852895899,535967306917.84125,43341140482.282166
2021-01-01,29022.41839530417,539438036435.6701,43503516563.294876
2021-01-02,29352.12679194895,545593282215.2498,34089717988.090446
2021-01-03,32163.824935335215,597887713053.5825,57273436641.22308
2021-01-04,33008.226203489285,613616917625.6967,178894068361.35312
2021-01-05,31515.575966658354,585726270248.7891,74657165356.22716
2021-01-06,34082.20604904424,633651671519.3958,67420500715.520256
2021-01-07,36933.520137309126,682743683563.0741,71027195897.95125
2021-01-08,39547.08408135567,735339707368.3339,78642959829.4919
2021-01-09,40815.96185478254,758971014787.3597,82846468856.35208
2021-01-10,40296.5290038294,749347201462.6359,55921808671.54423
2021-01-11,38397.895985418174,714078952009.0243,73381123612.69325
2021-01-12,35669.90668663349,663380898829.0051,111691569520.10521
2021-01-13,33938.33587810088,629751630408.4126,68954134557.3671
2021-01-14,37456.00772548642,696668634091.3435,65278944793.97605
2021-01-15,39232.74997140346,729751433670.0881,57519444621.68669
2021-01-16,36787.52121668496,684304915288.2261,63450740093.03335
2021-01-17,36254.713079410845,674660879866.02,55054325262.44017
2021-01-18,35804.263885674685,672291934493.4396,50749258739.19448
2021-01-19,36595.4647692826,682647247200.097,46769030146.76761
2021-01-20,36104.86385775514,671734819189.1033,51736994549.005974
2021-01-21,35587.489202735545,662434464441.264,58406615612.06859
2021-01-22,30913.695736053804,575205510268.1292,69415314297.66626
2021-01-23,32957.908782655926,613271077002.4795,69549742252.37038
2021-01-24,32068.08737440817,596744391345.3533,43575409684.64115
2021-01-25,32273.51735032927,600595408892.1986,42810544126.17814
2021-01-26,32375.320062981456,602517850752.0305,50410553261.414444
2021-01-27,32582.10944502123,606573549809.8268,48489676580.41073
2021-01-28,30445.52586511351,566661443732.4073,51514291052.43235
2021-01-29,33128.34752861149,616625386428.2396,51075972572.459564
2021-01-30,34150.81876737221,635688668063.594,97468515525.42249
2021-01-31,34199.51981036302,636624676861.2642,52001249491.10806
2021-02-01,33064.78676701507,615013848827.3505,42488649643.23183
2021-02-02,33405.99035714327,621908231690.1377,49268860242.66622
2021-02-03,35485.98593382442,660664104637.4851,50730704376.60918
2021-02-04,37494.71762460426,695794870715.5251,49762137494.206696
